Reference, Value, Footprint, Datasheet, FN, Family, MFR, PN, VENDOR, VSN, Value
J4,BOXHDR-2x5,Pin_Headers:Pin_Header_Straight_2x05,,48,CON,CNC TECH,3020-10-0300-00,Digikey,1175-1621-ND,BOXHDR-2x5
U9,MAX3241E,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,6,IC,MAXIM,MAX3241ECAI+,Digikey,MAX3241ECAI+-ND,MAX3241E
C8,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C9,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C5,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C6,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
U7,TJA1040,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,8,IC,NXP SEMICONDUCTOR,TJA1040T/CM,Digikey,568-10289-1-ND,TJA1040
R18,60,Resistors_SMD:R_0805,,31,RES,ROHM,MCR10ERTF59R0,Digikey,RHM59CHCT-ND,59R0
R19,60,Resistors_SMD:R_0805,,31,RES,ROHM,MCR10ERTF59R0,Digikey,RHM59CHCT-ND,59R0
C7,0.001uF,Capacitors_SMD:C_0805,,24,CAP,KEMET,C0805C102K5RACTU,Digikey,399-1147-1-ND,0.001uF
R16,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
J6,BOXHDR-2x5,Pin_Headers:Pin_Header_Straight_2x05,,48,CON,CNC TECH,3020-10-0300-00,Digikey,1175-1621-ND,BOXHDR-2x5
R20,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
Q5,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
Q4,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
R21,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R17,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
U8,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
D8,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R24,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D6,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R22,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D7,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R23,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
J5,HDR-1x10,Pin_Headers:Pin_Header_Straight_1x10,,50,CON,SULLINS,GBC10SGSN-M89,Digikey,S1143E-10-ND,HDR-1x10
D35,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R104,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R102,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R101,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
Q20,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
D34,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R103,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
C29,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C30,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C31,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
J25,HDR-1x4,,,53,CON,SULLINS,GBC04SGSN-M89,Digikey,S1143E-04-ND,
J8,BOXHDR-2x5,Pin_Headers:Pin_Header_Straight_2x05,,48,CON,CNC TECH,3020-10-0300-00,Digikey,1175-1621-ND,BOXHDR-2x5
J12,BOXHDR-2x3,Pin_Headers:Pin_Header_Straight_2x05,,49,CON,CNC TECH,3020-06-0300-00,Digikey,3020-06-0300-00-ND,BOXHDR-2x3
R25,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
U10,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
U11,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
U12,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
R26,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
J13,BOXHDR-2x3,Pin_Headers:Pin_Header_Straight_2x05,,49,CON,CNC TECH,3020-06-0300-00,Digikey,3020-06-0300-00-ND,BOXHDR-2x3
Q11,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
Q10,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
D14,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R40,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D15,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R41,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D17,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R43,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D16,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R39,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R31,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R37,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
Q8,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
Q6,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
D10,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R33,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D11,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R34,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R27,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R29,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
Q9,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
Q7,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
D12,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R35,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D13,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R36,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R28,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R30,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R38,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
Q12,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
R42,20K,Resistors_SMD:R_0805,,38,RES,ROHM,MCR10ERTF2002,Digikey,RHM20.0KCHCT-ND,20.0K
D9,LED-GREEN,LEDs:LED-3MM,,15,CAP,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R32,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
J14,HDR-1x4,,,53,CON,SULLINS,GBC04SGSN-M89,Digikey,S1143E-04-ND,
J9,HDR-1x6,,,52,CON,SULLINS,GBC06SGSN-M89,Digikey,S1143E-06-ND,HDR-1x6
J7,BOXHDR-2x10,,,47,CON,CNC TECH,3020-20-0300-00,Digikey,1175-1623-ND,BOXHDR-2x10
J10,HDR-1x9,,,51,CON,SULLINS,GBC09SGSN-M89,Digikey,S1143E-09-ND,HDR-1x9
J11,HDR-1x6,,,52,CON,SULLINS,GBC06SGSN-M89,Digikey,S1143E-06-ND,HDR-1x6
C32,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C33,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C34,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R107,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
R108,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
U13,74HCT595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,,10,IC,NXP SEMICONDUCTOR,74HCT595PW,Digikey,568-1561-1-ND,74HCT595
U14,74HCT595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,,10,IC,NXP SEMICONDUCTOR,74HCT595PW,Digikey,568-1561-1-ND,74HCT595
U15,74HCT595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,,10,IC,NXP SEMICONDUCTOR,74HCT595PW,Digikey,568-1561-1-ND,74HCT595
U16,74HCT595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,,10,IC,NXP SEMICONDUCTOR,74HCT595PW,Digikey,568-1561-1-ND,74HCT595
C35,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C36,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C37,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C38,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R49,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R50,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R48,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R47,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R45,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
Y1,12MHz,,,20,OSC,CTS FREQUENCY,445C35A12M00000,Digikey,CTX1435CT-ND,12.000MHz
U17,LPC1769,LQFP100,,1,IC,NXP SEMICONDUCTOR,LPC1769FBD100,Digikey,568-4966-ND,LPC1769
C10,18pF,Capacitors_SMD:C_0805,,28,CAP,KEMET,C0805C180J5GACTU,Digikey,399-1112-1-ND,18pF
C11,18pF,Capacitors_SMD:C_0805,,28,CAP,KEMET,C0805C180J5GACTU,Digikey,399-1112-1-ND,18pF
Y2,32.768KHz,,,21,OSC,CTS FREQUENCY,TF322P32K7680,Digikey,CTX1160CT-ND,32.768KHz
C13,18pF,Capacitors_SMD:C_0805,,28,CAP,KEMET,C0805C180J5GACTU,Digikey,399-1112-1-ND,18pF
C12,18pF,Capacitors_SMD:C_0805,,28,CAP,KEMET,C0805C180J5GACTU,Digikey,399-1112-1-ND,18pF
R46,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R44,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
C40,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C41,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C44,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C45,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C42,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C43,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C39,1.0uF,Capacitors_SMD:C_0805,,27,CAP,KEMET,C0805C105K5RACTU,Digikey,399-7409-1-ND,1.0uF
J15,BOXHDR-2x5,Pin_Headers:Pin_Header_Straight_2x05,,48,CON,CNC TECH,3020-10-0300-00,Digikey,1175-1621-ND,BOXHDR-2x5
U20,MAX3241E,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,6,IC,MAXIM,MAX3241ECAI+,Digikey,MAX3241ECAI+-ND,MAX3241E
U18,FT232R,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,5,IC,FUTURE TECHNOLOGY,FT232RL,Digikey,768-1007-1-ND,FT232R
J17,USB-MICRO-B,Connect:USB_Micro-B,,43,CON,AMPHENOL FCI,10104110-0001LF,Digikey,609-4052-1-ND,USB-MICRO-B
C15,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C16,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C17,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C18,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
Q15,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
R66,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
Q16,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
R67,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
R58,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R59,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R60,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R61,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R62,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R63,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R53,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
Q13,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
R56,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
R52,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
C14,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
D20,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R55,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
Q14,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
R64,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R65,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
D18,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R51,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R57,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
