Reference, Value, Footprint, Datasheet, FN, Family, MFR, PN, VENDOR, VSN, Value
U19,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
U21,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
D19,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R54,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
J16,HDR-1x10,,,50,CON,SULLINS,GBC10SGSN-M89,Digikey,S1143E-10-ND,HDR-1x10
C46,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C49,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C48,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C47,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C50,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
J18,MINIDIN6,,,44,CON,CUI-STACK,MD-06SV,Digikey,CP-2760-ND,MINIDIN-6
D21,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
D23,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
D25,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
D27,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
S2,SW_PUSH,,,55,SWI,E-SWITCH,TL3300DF160Q,Digikey,EG4906CT-ND,BUTTON
D22,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
D24,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
S3,SW_PUSH,,,55,SWI,E-SWITCH,TL3300DF160Q,Digikey,EG4906CT-ND,BUTTON
D26,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
S1,SW_NAVI,,,54,SWI,E-SWITCH,JS5208,Digikey,EG4561-ND,JOYSTICK
DS1,LCD-4x20,,,57,ASY,NEWHAVEN DISPLAY,NHD-0420AZ-FL-YBW-33V3,Digikey,NHD-0420AZ-FL-YBW-33V3-ND,LCD-4x20
LS1,BUZZER,,,23,BUZ,CUI-STACK,CSS-0575A-SMT,Digikey,102-2201-1-ND,BUZZER
Q17,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
R68,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
R98,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
R99,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
C51,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
U22,PIC16F1847,Housings_SSOP:SSOP-20_5.3x7.2mm_Pitch0.65mm,,2,IC,MICROCHIP,PIC16F1847-I/SS,Digikey,PIC16F1847-I/SS-ND,PIC16F1847
R69,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
C19,0.47uF,Capacitors_SMD:C_0805,,26,CAP,KEMET,C0805C474K5RACTU,Digikey,399-8100-1-ND,0.47uF
D29,BAT54,,,14,SEM,DIODES INC,BAT54-7-F,Digikey,BAT54-FDICT-ND,BAT54
R70,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R71,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
D28,BAT54,,,14,SEM,DIODES INC,BAT54-7-F,Digikey,BAT54-FDICT-ND,BAT54
C20,0.47uF,Capacitors_SMD:C_0805,,26,CAP,KEMET,C0805C474K5RACTU,Digikey,399-8100-1-ND,0.47uF
R73,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
R72,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
Q18,2N2222,,,18,SEM,DIODES INC,MMBT2222A-7-F,Digikey,MMBT2222A-FDICT-ND,2N2222
J20,BOXHDR-2x10,,,47,CON,CNC TECH,3020-20-0300-00,Digikey,1175-1623-ND,BOXHDR-2x10
J19,HDR-1x6,,,52,CON,SULLINS,GBC06SGSN-M89,Digikey,S1143E-06-ND,HDR-1x6
C52,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C53,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R109,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
R110,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
U24,LM3526-L,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,11,IC,NATIONAL (TI),LM3526M-L/NOPB,Digikey,LM3526M-L/NOPB-ND,LM3526-L
J23,USB-MICRO-B,Connect:USB_Micro-B,,43,CON,AMPHENOL FCI,10104110-0001LF,Digikey,609-4052-1-ND,USB-MICRO-B
C21,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R86,100K,Resistors_SMD:R_0805,,39,RES,ROHM,MCR10ERTF1003,Digikey,RHM100KCHCT-ND,100K
C22,10uF,,,29,CAP,KEMET,T494B106M016AT,Digikey,399-8446-1-ND,10uF
R94,15K,Resistors_SMD:R_0805,,37,RES,ROHM,MCR10ERTF1502,Digikey,RHM15.0KCHCT-ND,15.0K
R95,15K,Resistors_SMD:R_0805,,37,RES,ROHM,MCR10ERTF1502,Digikey,RHM15.0KCHCT-ND,15.0K
Q19,2N3906,,,17,SEM,DIODES INC,MMBT3906-7-F,Digikey,MMBT3906-FDICT-ND,2N3906
R85,1.5K,Resistors_SMD:R_0805,,34,RES,ROHM,MCR10ERTF1501,Digikey,RHM1.5KCHCT-ND,1.50K
J22,USB-TYPE-A,,,42,CON,CNC TECH,1003-002-01100,Digikey,1175-1267-ND,USB-TYPE-A
R84,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
U23,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
R76,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R75,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
D33,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R90,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D32,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R89,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
U25,DP83848,LQFP-48,,4,IC,TEXAS INSTRUMENTS,DP83848CVV/NOPB,Digikey,DP83848CVVX/NOPBCT-ND,DP83848
J21,RJ45-MAGS,,,41,CON,PULSE ELECTRONICS,J0011D01BNL,Digikey,553-1483-ND,RJ45-MAGS
C25,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C26,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R80,49.9,Resistors_SMD:R_0805,,30,RES,ROHM,MCR10ERTF49R9,Digikey,RHM49.9CHCT-ND,49R9
R82,49.9,Resistors_SMD:R_0805,,30,RES,ROHM,MCR10ERTF49R9,Digikey,RHM49.9CHCT-ND,49R9
R81,49.9,Resistors_SMD:R_0805,,30,RES,ROHM,MCR10ERTF49R9,Digikey,RHM49.9CHCT-ND,49R9
R83,49.9,Resistors_SMD:R_0805,,30,RES,ROHM,MCR10ERTF49R9,Digikey,RHM49.9CHCT-ND,49R9
C23,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C24,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R77,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R78,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R79,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R91,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R92,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
Y3,50MHz,,,22,OSC,SITIME,SIT2001BI-S2-33E-50.000000G,Digikey,1473-1346-1-ND,50MHz
R74,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
D30,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R87,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D31,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R88,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R93,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
R105,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
D36,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R106,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
C58,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C57,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C56,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C59,10uF,,,29,CAP,KEMET,T494B106M016AT,Digikey,399-8446-1-ND,10uF
C54,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C55,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
U26,MIC39100-3.3,TO_SOT_Packages_SMD:SOT-223,,12,IC,MICREL (MICROCHIP),MIC39100-3.3WS,Digikey,576-1172-ND,
J24,USB-MICRO-B,Connect:USB_Micro-B,,43,CON,AMPHENOL FCI,10104110-0001LF,Digikey,609-4052-1-ND,USB-MICRO-B
C27,1.0uF,Capacitors_SMD:C_0805,,27,CAP,KEMET,C0805C105K5RACTU,Digikey,399-7409-1-ND,1.0uF
C28,10uF,,,29,CAP,KEMET,T494B106M016AT,Digikey,399-8446-1-ND,10uF
U27,MCP1322,TO_SOT_Packages_SMD:SOT-23-5,,3,IC,MICROCHIP,MCP1322T-29LE/OT,Digikey,MCP1322T-29LE/OTCT-ND,MCP1322
R96,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R97,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
S4,SW_PUSH_RA,,,56,SWI,E-SWITCH,TL3330AF130QG,Digikey,EG4389CT-ND,TACT-RA
S5,SW_PUSH_RA,,,56,SWI,E-SWITCH,TL3330AF130QG,Digikey,EG4389CT-ND,TACT-RA
XA1,SD-SOCKET,10067847-001,,40,ASY,E-SWITCH,101-00313-68-02,Digikey,101-00313-68-02CT-ND,SD-SOCKET
U28,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
R100,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
C60,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C61,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C63,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C62,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
XBT1,CR2032-SOCKET,,,,CON,,,,,
J3,BOXHDR-2x5,Pin_Headers:Pin_Header_Straight_2x05,,48,CON,CNC TECH,3020-10-0300-00,Digikey,1175-1621-ND,BOXHDR-2x5
U6,MAX3241E,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,6,IC,MAXIM,MAX3241ECAI+,Digikey,MAX3241ECAI+-ND,MAX3241E
R6,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R5,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R7,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
C1,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C2,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C3,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C4,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R9,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
Q3,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
Q2,DMG1013,,,19,SEM,DIODES INC,DMG1013UW-7,Digikey,DMG1013UW-7DICT-ND,DMG1013
R10,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R8,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
U3,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
U2,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
R2,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R1,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
Q1,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
D4,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R14,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D3,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R13,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
U1,74HCT4066,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,9,IC,NXP SEMICONDUCTOR,74HCT4066PW,Digikey,568-8177-1-ND,74HCT4066
R3,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R4,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
D5,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R15,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D1,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R11,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
D2,LED-GREEN,LEDs:LED-3MM,,15,SEM,LITE-ON,LTST-C170KGKT,Digikey,160-1414-1-ND,LED-GREEN
R12,220,Resistors_SMD:R_0805,,32,RES,ROHM,MCR10ERTF2210,Digikey,RHM221CHCT-ND,221
U5,SN75176B,,,7,IC,TEXAS INSTRUMENTS,DS75176BM/NOPB,Digikey,DS75176BMX/NOPBCT-ND,SN75176B
U4,SN75176B,,,7,IC,TEXAS INSTRUMENTS,DS75176BM/NOPB,Digikey,DS75176BMX/NOPBCT-ND,SN75176B
J1,HDR-1x10,Pin_Headers:Pin_Header_Straight_1x10,,50,CON,SULLINS,GBC10SGSN-M89,Digikey,S1143E-10-ND,HDR-1x10
C64,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C65,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C66,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C67,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C68,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C69,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
J2,TERM-BLOCK-5,,,,CON,,,,,
